stimulus,display,cor_mag_resp,cor_par_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,isi_blank0.started,isi_blank1.started,stimulus_text.started,stimulus_resp.started,blank_text.started,stimulus_resp.keys,stimulus_resp.rt,error_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.3991900999099,21.3991900999099,space,1.0576928998343647,,,,,,,,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
2,1,j,f,0,0,0,1,,,,,22.51554979989305,22.51554979989305,23.0156179999467,23.0156179999467,23.0156179999467,j,2.567342400085181,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
3,1,j,d,0,1,1,2,,,,,26.14961969992146,26.14961969992146,26.648722500074655,26.648722500074655,26.648722500074655,k,1.2778952999506146,27.965501399943605,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
1,0,j,d,0,2,2,8,,,,,28.498729000100866,28.498729000100866,28.99878600006923,28.99878600006923,28.99878600006923,j,1.74926030007191,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
9,1,k,f,0,3,3,7,,,,,31.2829501000233,31.2829501000233,31.81540279998444,31.81540279998444,31.81540279998444,k,4.050078199943528,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
6,0,k,d,0,4,4,12,,,,,36.399053500033915,36.399053500033915,36.93194680009037,36.93194680009037,36.93194680009037,k,1.7565460000187159,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
1,1,j,d,0,5,5,0,,,,,39.24918769998476,39.24918769998476,39.781831899890676,39.781831899890676,39.781831899890676,j,0.9340973999351263,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
4,1,j,f,0,6,6,3,,,,,41.26549299992621,41.26549299992621,41.798432799987495,41.798432799987495,41.798432799987495,j,1.3674514000304043,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
3,0,j,d,0,7,7,10,,,,,43.715085400035605,43.715085400035605,44.248861300060526,44.248861300060526,44.248861300060526,j,0.86081189988181,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
7,0,k,f,0,8,8,13,,,,,45.66522149997763,45.66522149997763,46.19901610002853,46.19901610002853,46.19901610002853,k,0.9359815998468548,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
2,0,j,f,0,9,9,9,,,,,47.68174250004813,47.68174250004813,48.215472399955615,48.215472399955615,48.215472399955615,k,0.6829559998586774,48.931666899938136,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
7,1,k,f,0,10,10,5,,,,,49.464964099926874,49.464964099926874,49.964990499895066,49.964990499895066,49.964990499895066,k,1.5237133998889476,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
8,0,k,d,0,11,11,14,,,,,52.04908769996837,52.04908769996837,52.581551499897614,52.581551499897614,52.581551499897614,k,0.8180377997923642,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
6,1,k,d,0,12,12,4,,,,,53.93169529992156,53.93169529992156,54.464853199897334,54.464853199897334,54.464853199897334,k,1.2530895001254976,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
4,0,j,f,0,13,13,11,,,,,56.28186949994415,56.28186949994415,56.81478979997337,56.81478979997337,56.81478979997337,j,0.8549188000615686,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
9,0,k,f,0,14,14,15,,,,,58.23174190009013,58.23174190009013,58.764738199999556,58.764738199999556,58.764738199999556,k,1.1690396999474615,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
8,1,k,d,0,15,15,6,,,,,60.481435999972746,60.481435999972746,61.01474069990218,61.01474069990218,61.01474069990218,k,1.904183799866587,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
2,0,j,f,1,0,16,9,,,,,63.46466329996474,63.46466329996474,63.99793180008419,63.99793180008419,63.99793180008419,j,1.6757827999535948,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
9,0,k,f,1,1,17,15,,,,,66.21526319999248,66.21526319999248,66.74800659995526,66.74800659995526,66.74800659995526,k,0.9071790999732912,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
2,1,j,f,1,2,18,1,,,,,68.19860929995775,68.19860929995775,68.73124339990318,68.73124339990318,68.73124339990318,j,1.2808511001057923,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
3,0,j,d,1,3,19,10,,,,,70.54799150000326,70.54799150000326,71.08196770003997,71.08196770003997,71.08196770003997,k,1.182152499910444,72.2980702999048,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
1,0,j,d,1,4,20,8,,,,,72.83111939998344,72.83111939998344,73.33194450009614,73.33194450009614,73.33194450009614,j,1.2905942001380026,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
9,1,k,f,1,5,21,7,,,,,75.18359689996578,75.18359689996578,75.71461679995991,75.71461679995991,75.71461679995991,j,0.8914204000029713,76.66438880003989,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
4,1,j,f,1,6,22,3,,,,,77.19853039993905,77.19853039993905,77.69784200005233,77.69784200005233,77.69784200005233,k,0.7881617001257837,78.54769350006245,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
6,0,k,d,1,7,23,12,,,,,79.08106560003944,79.08106560003944,79.5810132001061,79.5810132001061,79.5810132001061,k,2.54122249991633,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
4,0,j,f,1,8,24,11,,,,,82.66446059988812,82.66446059988812,83.19815400009975,83.19815400009975,83.19815400009975,j,1.0648797999601811,,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
6,1,k,d,1,9,25,4,,,,,84.8142798000481,84.8142798000481,85.34921150002629,85.34921150002629,85.34921150002629,j,1.1041576000861824,86.49750089994632,0,001,2022-07-08_10h20.52.480,device-switching_baseline,2022.2.1,60.48691972160517,
,,,,,,,,,,,,87.03129759989679,87.03129759989679,87.53081550006755,87.53081550006755,87.53081550006755,,,,,,,,,,
