number_stimulus,letter_stimulus,display,cor_mag_resp,cor_par_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,isi_blank0.started,isi_blank1.started,number_stimulus_text.started,stimulus_resp.started,letter_stimulus_text.started,stimulus_resp.keys,stimulus_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,21.397382999999536,21.397382999999536,space,0.3182044999994105,,,,,,,,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
9,W,0,k,f,0,0,0,15,,,,,21.78890080000201,21.78890080000201,22.31511429999955,22.31511429999955,22.31511429999955,k,4.1178029000002425,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
7,L,0,k,f,0,1,1,13,,,,,26.51222350000171,26.51222350000171,27.07027129999915,27.07027129999915,27.07027129999915,j,3.146573299996817,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
8,U,0,k,d,0,2,2,14,,,,,30.290188999999373,30.290188999999373,30.833520100000896,30.833520100000896,30.833520100000896,k,0.7164651000020967,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
9,W,1,k,f,0,3,3,7,,,,,31.5914757999999,31.5914757999999,32.10844270000234,32.10844270000234,32.10844270000234,k,0.27319689999785624,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
4,C,1,j,f,0,4,4,2,,,,,32.442116400001396,32.442116400001396,32.95945240000219,32.95945240000219,32.95945240000219,k,0.16475069999796688,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
3,B,1,j,d,0,5,5,1,,,,,33.1859242999999,33.1859242999999,33.727173800001765,33.727173800001765,33.727173800001765,k,0.18374369999946794,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
4,C,0,j,f,0,6,6,10,,,,,33.97721929999898,33.97721929999898,34.51130340000236,34.51130340000236,34.51130340000236,k,0.18108629999915138,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
5,E,1,None,None,0,7,7,3,,,,,34.754252499998984,34.754252499998984,35.27871260000029,35.27871260000029,35.27871260000029,k,0.19004299999869545,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
6,I,1,k,d,0,8,8,4,,,,,35.52884239999912,35.52884239999912,36.062754500002484,36.062754500002484,36.062754500002484,j,0.16821359999812557,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
3,B,0,j,d,0,9,9,9,,,,,36.2887550000014,36.2887550000014,36.79716009999902,36.79716009999902,36.79716009999902,k,0.4064199999993434,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
6,I,0,k,d,0,10,10,12,,,,,37.27414359999966,37.27414359999966,37.83158280000134,37.83158280000134,37.83158280000134,j,0.3094633000000613,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
5,E,0,None,None,0,11,11,11,,,,,38.21533099999942,38.21533099999942,38.766284299999825,38.766284299999825,38.766284299999825,j,0.4463706999995338,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
2,A,1,j,f,0,12,12,0,,,,,39.26625520000016,39.26625520000016,39.78340070000195,39.78340070000195,39.78340070000195,j,1.3545881999998528,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
2,A,0,j,f,0,13,13,8,,,,,41.201987200001895,41.201987200001895,41.752448999999615,41.752448999999615,41.752448999999615,j,0.5733696000024793,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
7,L,1,k,f,0,14,14,5,,,,,42.41933960000097,42.41933960000097,42.953491100000974,42.953491100000974,42.953491100000974,j,0.5754441000026418,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
8,U,1,k,d,0,15,15,6,,,,,43.58788320000167,43.58788320000167,44.13854210000136,44.13854210000136,44.13854210000136,j,0.5825648999998521,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
3,B,1,j,d,1,0,16,1,,,,,44.77209050000238,44.77209050000238,45.29829400000017,45.29829400000017,45.29829400000017,k,0.4948106000010739,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
9,W,0,k,f,1,1,17,15,,,,,45.85639839999931,45.85639839999931,46.37388590000046,46.37388590000046,46.37388590000046,k,0.3879921000007016,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
5,E,1,None,None,1,2,18,3,,,,,46.85778670000218,46.85778670000218,47.38290710000001,47.38290710000001,47.38290710000001,k,0.24577430000135791,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
3,B,0,j,d,1,3,19,9,,,,,47.691731800001435,47.691731800001435,48.21785960000125,48.21785960000125,48.21785960000125,k,0.2923412999989523,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
6,I,1,k,d,1,4,20,4,,,,,48.583984100001544,48.583984100001544,49.07661940000253,49.07661940000253,49.07661940000253,k,0.39097689999834984,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
7,L,0,k,f,1,5,21,13,,,,,49.51037329999963,49.51037329999963,50.02793390000079,50.02793390000079,50.02793390000079,k,0.2515500000008615,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
7,L,1,k,f,1,6,22,5,,,,,50.36144720000084,50.36144720000084,50.87914069999897,50.87914069999897,50.87914069999897,k,0.2724631999990379,0,001,2022-07-19_16h27.57.038,device-switching_baseline,2022.2.1,None,
