participant,trial_count,line_width,line_id,line_orientation
90,0,1.3333,r1c2_bottom_right,forward_slash
90,0,1.3333,r2c1_bottom_right,forward_slash
90,0,1.6667,r2c2_bottom_left,back_slash
90,1,1.0,r2c1_bottom_right,forward_slash
90,1,1.3333,r2c2_bottom_right,forward_slash
90,1,1.6667,r1c2_bottom_right,forward_slash
90,1,1.6667,r2c0_bottom_right,forward_slash
90,2,1.0,r0c0_right,vertical
90,2,1.3333,r0c2_right,vertical
90,2,1.3333,r1c2_bottom_right,forward_slash
90,2,1.3333,r1c2_right,vertical
90,3,1.3333,r2c1_bottom_left,back_slash
90,3,1.3333,r2c3_bottom_left,back_slash
90,3,1.6667,r0c1_right,vertical
90,3,1.6667,r0c3_bottom_left,back_slash
90,3,1.6667,r1c1_bottom_left,back_slash
90,3,1.6667,r2c0_right,vertical
90,4,1.3333,r0c3_bottom_left,back_slash
90,4,1.3333,r1c0_bottom_left,back_slash
90,4,1.3333,r1c0_bottom_right,forward_slash
90,5,1.0,r0c0_right,vertical
90,5,1.3333,r2c3_bottom_left,back_slash
90,5,1.6667,r0c1_bottom_right,forward_slash
90,6,1.0,r0c1_bottom_right,forward_slash
90,6,1.3333,r0c0_bottom_right,forward_slash
90,6,2.0,r2c0_right,vertical
90,6,2.0,r2c2_right,vertical
90,7,1.3333,r0c2_bottom_left,back_slash
90,7,1.3333,r1c1_bottom_left,back_slash
90,7,1.6667,r1c0_bottom_right,forward_slash
90,7,1.6667,r2c1_right,vertical
90,8,1.3333,r1c1_right,vertical
90,8,1.3333,r1c3_bottom_left,back_slash
90,8,1.6667,r0c2_bottom_right,forward_slash
90,9,1.6667,r0c1_bottom_right,forward_slash
90,9,1.6667,r2c1_bottom_right,forward_slash
90,9,1.6667,r3c0_right,vertical
90,10,1.0,r2c0_right,vertical
90,10,1.3333,r0c0_right,vertical
90,10,1.6667,r0c2_bottom_right,forward_slash
90,10,1.6667,r1c1_bottom_right,forward_slash
90,10,1.6667,r2c3_bottom_right,forward_slash
90,10,1.6667,r3c0_right,vertical
90,11,1.0,r1c2_right,vertical
90,11,1.0,r2c2_right,vertical
90,11,1.3333,r0c1_bottom_right,forward_slash
90,11,1.3333,r2c3_bottom_left,back_slash
90,12,1.3333,r0c2_bottom_right,forward_slash
90,12,1.3333,r1c2_bottom_left,back_slash
90,12,1.3333,r1c2_right,vertical
90,12,1.3333,r2c1_bottom_left,back_slash
90,12,1.3333,r2c3_bottom_right,forward_slash
90,13,1.3333,r2c2_right,vertical
90,13,1.6667,r0c2_bottom_left,back_slash
90,13,1.6667,r1c1_bottom_left,back_slash
90,14,1.0,r0c0_bottom_right,forward_slash
90,14,1.3333,r0c1_right,vertical
90,14,1.3333,r0c2_bottom_left,back_slash
90,14,1.3333,r3c0_right,vertical
90,15,1.0,r2c1_bottom_right,forward_slash
90,15,1.6667,r0c0_bottom_right,forward_slash
90,15,1.6667,r0c1_right,vertical
90,15,1.6667,r1c2_bottom_left,back_slash
90,15,1.6667,r2c1_bottom_left,back_slash
90,16,1.3333,r1c2_bottom_left,back_slash
90,16,1.3333,r2c2_right,vertical
90,16,1.6667,r2c0_bottom_right,forward_slash
90,16,1.6667,r2c3_bottom_right,forward_slash
90,16,1.6667,r3c0_right,vertical
90,17,1.0,r0c3_bottom_left,back_slash
90,17,1.0,r3c2_right,vertical
90,17,1.3333,r0c2_bottom_left,back_slash
90,17,1.3333,r2c0_right,vertical
90,18,1.3333,r0c2_right,vertical
90,18,1.3333,r2c3_bottom_right,forward_slash
90,18,1.6667,r1c0_right,vertical
90,19,1.0,r0c0_bottom_right,forward_slash
90,19,1.3333,r0c1_bottom_right,forward_slash
90,19,1.3333,r0c2_bottom_left,back_slash
90,19,1.3333,r1c1_bottom_right,forward_slash
90,19,1.3333,r1c1_right,vertical
90,20,1.3333,r0c1_bottom_left,back_slash
90,20,1.3333,r1c2_right,vertical
90,20,1.6667,r1c0_bottom_left,back_slash
90,20,1.6667,r1c2_bottom_left,back_slash
90,20,1.6667,r2c0_bottom_right,forward_slash
90,21,1.3333,r0c0_right,vertical
90,21,1.3333,r0c3_bottom_right,forward_slash
90,21,1.3333,r2c2_right,vertical
90,21,1.3333,r3c2_right,vertical
90,22,1.3333,r1c2_right,vertical
90,22,1.3333,r1c3_bottom_left,back_slash
90,22,1.6667,r0c2_right,vertical
90,22,1.6667,r0c3_bottom_right,forward_slash
90,22,1.6667,r1c2_bottom_left,back_slash
90,23,1.0,r2c1_bottom_left,back_slash
90,23,1.3333,r0c0_bottom_right,forward_slash
90,23,1.6667,r1c2_bottom_left,back_slash
90,24,1.3333,r0c1_right,vertical
90,24,1.3333,r0c2_right,vertical
90,24,1.3333,r2c2_bottom_left,back_slash
90,24,1.3333,r2c2_right,vertical
90,25,1.3333,r1c1_bottom_left,back_slash
90,25,1.3333,r3c1_right,vertical
90,25,2.0,r0c1_bottom_left,back_slash
90,25,2.0,r0c2_bottom_left,back_slash
90,25,2.0,r1c0_bottom_left,back_slash
90,25,2.0,r2c2_bottom_left,back_slash
90,25,2.0,r2c3_bottom_right,forward_slash
90,25,2.0,r3c0_right,vertical
90,26,1.3333,r2c0_right,vertical
90,26,1.3333,r2c3_bottom_right,forward_slash
90,26,1.6667,r0c2_bottom_left,back_slash
90,26,1.6667,r0c3_bottom_left,back_slash
90,26,1.6667,r2c2_bottom_left,back_slash
90,27,1.3333,r0c0_bottom_right,forward_slash
90,27,1.3333,r0c1_right,vertical
90,27,1.3333,r2c0_right,vertical
90,28,1.3333,r1c0_bottom_right,forward_slash
90,28,1.3333,r2c1_right,vertical
90,28,1.6667,r0c0_bottom_right,forward_slash
90,28,1.6667,r1c1_bottom_right,forward_slash
90,28,1.6667,r3c2_right,vertical
90,29,1.3333,r1c0_bottom_right,forward_slash
90,29,1.3333,r2c2_right,vertical
90,29,1.6667,r1c0_right,vertical
90,29,1.6667,r1c3_bottom_left,back_slash
90,29,1.6667,r3c2_right,vertical
90,30,1.3333,r0c0_right,vertical
90,30,1.3333,r1c0_bottom_right,forward_slash
90,30,1.3333,r1c1_bottom_right,forward_slash
90,31,1.0,r0c3_bottom_right,forward_slash
90,31,1.0,r3c0_right,vertical
90,31,1.3333,r0c1_bottom_right,forward_slash
90,31,1.3333,r0c1_right,vertical
90,31,1.3333,r2c2_right,vertical
90,32,1.3333,r2c0_right,vertical
90,32,1.3333,r2c1_bottom_right,forward_slash
90,32,2.0,r0c0_bottom_right,forward_slash
90,32,2.0,r0c0_right,vertical
90,32,2.0,r0c1_bottom_right,forward_slash
90,32,2.0,r0c2_bottom_left,back_slash
90,32,2.0,r0c3_bottom_right,forward_slash
90,32,2.0,r2c2_right,vertical
90,32,2.0,r3c0_right,vertical
90,33,1.0,r1c0_bottom_right,forward_slash
90,33,1.3333,r0c3_bottom_right,forward_slash
90,33,1.3333,r1c3_bottom_left,back_slash
90,33,1.3333,r3c2_right,vertical
90,34,1.3333,r0c1_bottom_right,forward_slash
90,34,1.3333,r1c2_bottom_left,back_slash
90,34,1.6667,r1c1_right,vertical
90,35,1.3333,r0c1_bottom_left,back_slash
90,35,1.3333,r1c1_right,vertical
90,35,1.3333,r2c0_right,vertical
90,35,1.3333,r2c2_bottom_right,forward_slash
90,36,1.0,r1c0_bottom_right,forward_slash
90,36,1.3333,r1c1_right,vertical
90,36,1.3333,r1c2_bottom_left,back_slash
90,36,1.3333,r2c1_right,vertical
90,36,1.3333,r2c2_right,vertical
90,37,1.3333,r0c2_bottom_right,forward_slash
90,37,1.3333,r1c1_bottom_right,forward_slash
90,37,1.3333,r1c2_bottom_right,forward_slash
90,37,1.3333,r3c1_right,vertical
90,38,1.3333,r0c1_bottom_right,forward_slash
90,38,1.3333,r1c2_right,vertical
90,38,1.6667,r2c0_bottom_right,forward_slash
90,39,1.6667,r0c0_right,vertical
90,39,1.6667,r1c2_bottom_right,forward_slash
90,39,1.6667,r2c0_bottom_right,forward_slash
90,40,1.0,r1c3_bottom_left,back_slash
90,40,1.3333,r0c0_bottom_right,forward_slash
90,40,1.3333,r0c3_bottom_right,forward_slash
90,40,1.3333,r2c1_bottom_left,back_slash
90,40,1.3333,r2c2_right,vertical
90,41,1.0,r1c0_right,vertical
90,41,1.3333,r0c0_right,vertical
90,41,1.3333,r0c2_bottom_left,back_slash
90,42,1.3333,r1c1_bottom_left,back_slash
90,42,1.3333,r1c1_bottom_right,forward_slash
90,42,1.3333,r2c1_bottom_left,back_slash
90,42,1.3333,r2c2_bottom_right,forward_slash
90,43,1.3333,r1c1_right,vertical
90,43,1.3333,r1c2_bottom_right,forward_slash
90,43,1.3333,r2c3_bottom_left,back_slash
90,43,1.3333,r3c0_right,vertical
90,44,1.6667,r2c2_bottom_left,back_slash
90,44,1.6667,r2c2_bottom_right,forward_slash
90,44,2.0,r0c0_bottom_right,forward_slash
90,44,2.0,r0c1_bottom_left,back_slash
90,44,2.0,r0c1_right,vertical
90,44,2.0,r1c1_bottom_right,forward_slash
90,44,2.0,r1c1_right,vertical
90,45,1.3333,r2c1_right,vertical
90,45,1.3333,r2c2_bottom_right,forward_slash
90,45,1.6667,r1c1_bottom_right,forward_slash
90,45,1.6667,r3c2_right,vertical
90,46,1.0,r0c0_bottom_right,forward_slash
90,46,1.6667,r0c0_right,vertical
90,46,1.6667,r0c3_bottom_left,back_slash
90,46,1.6667,r2c3_bottom_left,back_slash
90,47,1.3333,r2c0_bottom_right,forward_slash
90,47,1.3333,r3c0_right,vertical
90,47,1.6667,r0c2_right,vertical
90,47,1.6667,r2c1_bottom_right,forward_slash
90,47,1.6667,r3c2_right,vertical
90,48,1.0,r0c3_bottom_right,forward_slash
90,48,1.3333,r1c0_right,vertical
90,48,1.3333,r2c2_bottom_left,back_slash
90,49,1.3333,r0c1_bottom_left,back_slash
90,49,1.6667,r0c2_bottom_left,back_slash
90,49,1.6667,r2c0_right,vertical
90,50,1.0,r1c0_right,vertical
90,50,1.6667,r1c1_bottom_right,forward_slash
90,50,1.6667,r3c0_right,vertical
90,51,1.3333,r0c0_right,vertical
90,51,1.3333,r0c1_right,vertical
90,51,1.3333,r1c0_right,vertical
90,52,1.0,r0c3_bottom_right,forward_slash
90,52,1.6667,r0c2_bottom_right,forward_slash
90,52,1.6667,r1c1_bottom_right,forward_slash
90,52,1.6667,r2c1_bottom_right,forward_slash
90,53,1.3333,r2c1_right,vertical
90,53,1.6667,r1c1_right,vertical
90,53,1.6667,r1c2_right,vertical
90,53,1.6667,r2c2_right,vertical
90,54,1.3333,r0c1_bottom_left,back_slash
90,54,1.3333,r1c1_bottom_right,forward_slash
90,54,1.3333,r2c0_right,vertical
90,55,1.0,r1c1_right,vertical
90,55,1.0,r2c0_bottom_right,forward_slash
90,55,1.3333,r1c1_bottom_left,back_slash
90,55,1.3333,r2c1_bottom_left,back_slash
90,56,1.3333,r1c1_bottom_left,back_slash
90,56,1.3333,r1c2_right,vertical
90,56,1.3333,r2c2_bottom_left,back_slash
90,57,1.6667,r0c0_right,vertical
90,57,1.6667,r0c1_bottom_right,forward_slash
90,57,2.0,r0c2_bottom_left,back_slash
90,57,2.0,r1c0_right,vertical
90,57,2.0,r1c1_right,vertical
90,57,2.0,r1c2_right,vertical
90,57,2.0,r2c0_bottom_right,forward_slash
90,57,2.0,r2c0_right,vertical
90,57,2.0,r2c1_right,vertical
90,57,2.0,r2c2_bottom_right,forward_slash
90,57,2.0,r2c3_bottom_left,back_slash
90,57,2.0,r3c2_right,vertical
90,58,1.0,r2c1_bottom_left,back_slash
90,58,1.6667,r1c1_bottom_left,back_slash
90,58,1.6667,r1c3_bottom_left,back_slash
90,58,1.6667,r2c0_bottom_right,forward_slash
90,59,1.3333,r0c2_bottom_right,forward_slash
90,59,1.3333,r0c3_bottom_left,back_slash
90,59,1.3333,r1c1_bottom_right,forward_slash
90,60,1.0,r0c2_bottom_left,back_slash
90,60,1.3333,r0c1_right,vertical
90,60,1.3333,r1c0_bottom_right,forward_slash
90,60,1.3333,r2c1_bottom_left,back_slash
90,61,1.0,r0c2_bottom_right,forward_slash
90,61,1.3333,r0c2_bottom_left,back_slash
90,61,1.3333,r1c0_bottom_left,back_slash
90,61,1.3333,r2c2_bottom_left,back_slash
90,61,1.3333,r3c0_right,vertical
90,61,1.3333,r3c2_right,vertical
90,62,1.3333,r0c1_right,vertical
90,62,1.3333,r0c2_bottom_left,back_slash
90,62,1.6667,r0c1_bottom_left,back_slash
90,62,1.6667,r3c1_right,vertical
90,63,1.3333,r2c2_bottom_left,back_slash
90,63,2.0,r0c1_right,vertical
90,63,2.0,r1c0_bottom_left,back_slash
90,63,2.0,r1c0_bottom_right,forward_slash
90,63,2.0,r1c1_bottom_right,forward_slash
90,63,2.0,r2c1_bottom_left,back_slash
90,63,2.0,r2c3_bottom_left,back_slash
90,64,1.3333,r2c2_bottom_left,back_slash
90,64,1.3333,r3c2_right,vertical
90,64,1.6667,r1c0_right,vertical
90,64,1.6667,r2c2_bottom_right,forward_slash
90,64,1.6667,r2c2_right,vertical
90,64,1.6667,r2c3_bottom_left,back_slash
90,65,1.0,r2c1_bottom_left,back_slash
90,65,1.0,r2c3_bottom_left,back_slash
90,65,1.3333,r0c0_right,vertical
90,65,1.3333,r2c2_bottom_left,back_slash
90,66,1.3333,r1c0_bottom_left,back_slash
90,66,1.3333,r1c1_right,vertical
90,66,1.3333,r1c2_bottom_left,back_slash
90,66,1.3333,r1c3_bottom_left,back_slash
90,66,1.3333,r2c0_bottom_right,forward_slash
90,66,1.3333,r2c2_bottom_right,forward_slash
90,67,1.0,r1c0_bottom_right,forward_slash
90,67,1.0,r1c1_right,vertical
90,67,1.0,r2c2_bottom_left,back_slash
90,68,1.0,r1c0_bottom_left,back_slash
90,68,1.3333,r2c0_right,vertical
90,68,1.3333,r2c1_bottom_left,back_slash
90,68,1.3333,r2c1_bottom_right,forward_slash
90,68,1.3333,r3c0_right,vertical
90,69,1.3333,r0c1_bottom_right,forward_slash
90,69,1.3333,r2c0_right,vertical
90,69,1.3333,r2c1_right,vertical
90,69,1.3333,r2c3_bottom_left,back_slash
90,70,1.0,r0c3_bottom_left,back_slash
90,70,1.0,r2c0_right,vertical
90,70,1.3333,r1c3_bottom_left,back_slash
90,70,1.3333,r3c0_right,vertical
90,71,1.3333,r2c0_bottom_right,forward_slash
90,71,2.0,r0c1_bottom_left,back_slash
90,71,2.0,r0c1_right,vertical
90,71,2.0,r0c2_right,vertical
90,71,2.0,r1c2_bottom_right,forward_slash
90,71,2.0,r1c3_bottom_left,back_slash
90,71,2.0,r2c1_bottom_left,back_slash
90,71,2.0,r2c2_bottom_right,forward_slash
90,71,2.0,r2c2_right,vertical
90,71,2.0,r2c3_bottom_left,back_slash
90,72,1.0,r1c2_right,vertical
90,72,1.0,r1c3_bottom_left,back_slash
90,72,1.3333,r1c1_bottom_left,back_slash
90,73,1.0,r0c0_right,vertical
90,73,1.3333,r0c0_bottom_right,forward_slash
90,73,1.3333,r0c2_bottom_right,forward_slash
90,73,1.3333,r1c2_right,vertical
90,73,1.3333,r3c0_right,vertical
90,74,1.3333,r0c0_bottom_right,forward_slash
90,74,1.3333,r2c1_bottom_right,forward_slash
90,74,1.3333,r2c2_bottom_left,back_slash
90,74,1.3333,r2c3_bottom_right,forward_slash
90,74,1.3333,r3c2_right,vertical
90,75,1.0,r2c1_right,vertical
90,75,1.6667,r1c0_bottom_left,back_slash
90,75,1.6667,r3c2_right,vertical
90,76,1.3333,r2c1_right,vertical
90,76,1.3333,r2c2_bottom_right,forward_slash
90,76,1.3333,r2c3_bottom_right,forward_slash
90,76,1.3333,r3c2_right,vertical
90,77,1.3333,r2c0_right,vertical
90,77,1.6667,r0c3_bottom_left,back_slash
90,77,1.6667,r3c2_right,vertical
90,78,1.3333,r1c0_right,vertical
90,78,1.6667,r0c2_bottom_left,back_slash
90,78,2.0,r0c1_right,vertical
90,78,2.0,r2c0_right,vertical
90,78,2.0,r2c1_bottom_left,back_slash
90,79,1.3333,r0c0_right,vertical
90,79,1.3333,r1c0_bottom_right,forward_slash
90,79,1.6667,r0c1_bottom_left,back_slash
90,79,1.6667,r1c1_bottom_right,forward_slash
90,79,1.6667,r1c2_right,vertical
90,80,1.0,r0c0_bottom_right,forward_slash
90,80,1.3333,r0c1_bottom_right,forward_slash
90,80,1.3333,r1c0_bottom_right,forward_slash
90,80,1.3333,r1c1_right,vertical
90,81,1.0,r2c1_right,vertical
90,81,1.3333,r0c2_bottom_left,back_slash
90,81,1.3333,r0c3_bottom_right,forward_slash
90,81,1.3333,r3c0_right,vertical
90,82,1.3333,r2c2_bottom_right,forward_slash
90,82,1.3333,r2c2_right,vertical
90,82,1.3333,r3c2_right,vertical
90,83,1.0,r1c2_bottom_left,back_slash
90,83,1.3333,r0c2_right,vertical
90,83,1.3333,r2c2_bottom_right,forward_slash
90,83,1.3333,r2c2_right,vertical
90,84,1.0,r0c1_bottom_right,forward_slash
90,84,1.3333,r0c0_right,vertical
90,84,1.3333,r0c2_right,vertical
90,84,1.3333,r1c2_right,vertical
90,84,1.3333,r2c2_bottom_right,forward_slash
90,84,1.3333,r2c2_right,vertical
90,85,1.3333,r2c0_bottom_right,forward_slash
90,85,1.6667,r0c0_bottom_right,forward_slash
90,85,1.6667,r0c3_bottom_left,back_slash
90,85,1.6667,r1c1_bottom_left,back_slash
90,85,1.6667,r2c3_bottom_left,back_slash
90,86,1.3333,r1c1_bottom_left,back_slash
90,86,1.6667,r1c1_right,vertical
90,86,2.0,r0c1_bottom_left,back_slash
90,86,2.0,r0c2_bottom_left,back_slash
