"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice"
90,"2021_Sep_22_1505","0 days 00:02:51.985545000",0,1,12.2204822000058,818.85,"line",1.3333,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"True"
90,"2021_Sep_22_1505","0 days 00:02:54.887976000",0,2,12.2204822000058,3721.281,"line",1.3333,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,3,"True"
90,"2021_Sep_22_1505","0 days 00:03:07.666862000",0,3,12.2204822000058,16500.167,"line",2,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"True"
90,"2021_Sep_22_1505","0 days 00:03:08.702995000",0,4,12.2204822000058,17536.3,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"True"
90,"2021_Sep_22_1505","0 days 00:03:20.096294000",1,1,4.42450950000784,493.974,"line",1,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:21.131490000",1,2,4.42450950000784,1529.17,"line",1.3333,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:25.734814000",1,3,4.42450950000784,6132.494,"line",1.6667,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:26.737708000",1,4,4.42450950000784,7135.388,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:30.890050000",2,1,2.29825180000626,581.649,"line",1,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:32.558143000",2,2,2.29825180000626,2249.742,"line",1.3333,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:34.994537000",2,3,2.29825180000626,4686.136,"line",1.6667,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:37.231314000",2,4,2.29825180000626,6922.913,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False"
90,"2021_Sep_22_1505","0 days 00:03:41.718316000",3,1,2.92770900001051,348.117,"line",1.3333,-204.596567073625,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_left","back_slash","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:03:44.120732000",3,2,2.92770900001051,2750.533,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:03:45.521128000",3,3,2.92770900001051,4150.929,"line",1.6667,186.210298779124,280,283.912015242312,210.326657894522,"r0c3_bottom_left","back_slash","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:03:47.392759000",3,4,2.92770900001051,6022.56,"submit",NA,NA,NA,NA,NA,"","","",1,6,"False"
90,"2021_Sep_22_1505","0 days 00:03:50.259225000",4,1,1.53646480001044,363.158,"line",1.3333,-302.298283536813,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:03:53.129203000",4,2,1.53646480001044,3233.136,"line",1.3333,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:03:55.898869000",4,3,1.53646480001044,6002.802,"line",1.3333,186.210298779124,280,283.912015242312,210.326657894522,"r0c3_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:03:58.103911000",4,4,1.53646480001044,8207.844,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False"
90,"2021_Sep_22_1505","0 days 00:04:00.886705000",5,1,1.56648229999701,362.275,"line",1,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:04:02.022897000",5,2,1.56648229999701,1498.467,"line",1.6667,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:04:05.761138000",5,3,1.56648229999701,5236.708,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:04:07.162605000",5,4,1.56648229999701,6638.175,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False"
90,"2021_Sep_22_1505","0 days 00:04:10.145943000",6,1,1.81941189998179,429.183,"line",1.3333,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:04:11.413863000",6,2,1.81941189998179,1697.103,"line",1,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:04:48.335326000",6,3,1.81941189998179,38618.566,"line",2.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:04:52.256460000",6,4,1.81941189998179,42539.7,"line",2.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","released",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:04:54.259437000",6,5,1.81941189998179,44542.677,"line",2,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:04:57.595201000",6,6,1.81941189998179,47878.441,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:01.081072000",7,1,1.32284180002171,730.402,"line",1.6667,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:01.814493000",7,2,1.32284180002171,1463.823,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:03.049664000",7,3,1.32284180002171,2698.994,"line",1.3333,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:05.553065000",7,4,1.32284180002171,5202.395,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:08.904727000",8,1,1.88234430001467,381.447,"line",2,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:12.908160000",8,2,1.88234430001467,4384.88,"line",2,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","released",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:15.077674000",8,3,1.88234430001467,6554.394,"line",1.6667,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:20.817487000",8,4,1.88234430001467,12294.207,"line",1.3333,88.508582315937,210.326657894522,88.508582315937,90.3266578945223,"r1c1_right","vertical","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:26.155330000",8,5,1.88234430001467,17632.05,"line",2,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:27.325588000",8,6,1.88234430001467,18802.308,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:31.177404000",9,1,2.48720680002589,281.311,"line",2,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:31.911768000",9,2,2.48720680002589,1015.675,"line",1.6667,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:33.880811000",9,3,2.48720680002589,2984.718,"line",2,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:37.032877000",9,4,2.48720680002589,6136.784,"line",2,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","released",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:37.866680000",9,5,2.48720680002589,6970.587,"line",2,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:39.099991000",9,6,2.48720680002589,8203.898,"line",2,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","released",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:42.088389000",9,7,2.48720680002589,11192.296,"line",2,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:05:43.191614000",9,8,2.48720680002589,12295.521,"submit",NA,NA,NA,NA,NA,"","","",0.333333333333333,3,"False"
