line_orientation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
diagonal2,0,0,0,3,space,1.2085789879993172,4.698178667999855,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,0,1,1,1,space,1.1668049680001786,5.923508834000131,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,0,2,2,2,space,0.7174075439997978,7.106694803999744,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,0,3,3,0,space,0.6341143570007262,7.840290148999884,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,1,0,4,3,space,0.6168800169998576,8.490235708999535,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,1,1,5,2,space,0.6667782790000274,9.123675391999313,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,1,2,6,1,space,0.7177586950001569,9.807059563999246,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,1,3,7,0,space,0.6828178670002671,10.541520965000018,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,2,0,8,1,space,0.9004035739999381,11.241234114999315,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,2,1,9,3,space,0.6172278429994549,12.15775406099965,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,2,2,10,0,space,0.6500810159996036,12.791269510999882,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,2,3,11,2,space,0.566847725000116,13.45778638899992,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,3,0,12,0,space,0.5841563009998936,14.04126419899967,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,3,1,13,2,space,0.5336182080000071,14.641461834999973,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,3,2,14,3,space,0.5167671810004322,15.191546529999869,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,3,3,15,1,space,0.5668044929998359,15.724862473999565,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,4,0,16,0,space,0.5504792450001332,16.30802735999987,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,4,1,17,3,space,0.4671476260000418,16.87501948499994,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,4,2,18,1,space,0.4668686519999028,17.358301385999766,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,4,3,19,2,space,0.4003798489993642,17.8418443569999,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,5,0,20,0,space,0.40080694500011305,18.25840291499935,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,5,1,21,3,space,0.25045322900041356,18.675251452999873,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,5,2,22,2,space,0.2843170910000481,18.9417764359996,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,5,3,23,1,space,0.3011425889999373,19.241459553999448,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,6,0,24,0,space,0.2839522639997085,19.55818714599991,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,6,1,25,1,space,0.2836330899999666,19.8585852719998,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,6,2,26,3,space,0.2506559229996128,20.15826217799986,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,6,3,27,2,space,0.21717738999996072,20.425329828999566,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,7,0,28,0,space,0.20027318399934302,20.658675779000077,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,7,1,29,3,space,0.20005831199978275,20.875420945999394,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,7,2,30,2,space,0.16666654299933725,21.0921260289997,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,7,3,31,1,space,0.13446953000038775,21.275414168999305,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,8,0,32,0,space,0.1506475779997345,21.425402576000124,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,8,1,33,2,space,0.13345180899978004,21.592123437999362,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,8,2,34,1,space,0.11670295100066141,21.742412887999308,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,8,3,35,3,space,0.11677818099997239,21.875434083999608,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal1,9,0,36,2,space,0.11674686300011672,22.008637990999887,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
horizontal,9,1,37,0,space,0.11652263499945548,22.142181171999255,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
vertical,9,2,38,1,space,0.13342362999992474,22.275543645999278,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
diagonal2,9,3,39,3,space,0.13367002599989064,22.425213778999932,None,0,001,2021_Jul_09_1109,compare_lines,2021.1.4,60.00205879036987,
