participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice
10,2021_Oct_01_1059,0 days 00:29:29.904129000,0,1,15.215347700000166,1425.176,line,1.3333,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,7,True
10,2021_Oct_01_1059,0 days 00:29:32.474873000,0,2,15.215347700000166,3995.92,line,2.0,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,7,True
10,2021_Oct_01_1059,0 days 00:29:45.319750000,0,3,15.215347700000166,16840.797,line,2.0,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,7,True
10,2021_Oct_01_1059,0 days 00:29:48.123449000,0,4,15.215347700000166,19644.496,submit,,,,,,,,,1.0,7,True
10,2021_Oct_01_1059,0 days 00:30:39.992459000,1,1,28.54740139999967,463.076,line,1.3333,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:30:41.426901000,1,2,28.54740139999967,1897.518,line,1.3333,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:30:42.157594000,1,3,28.54740139999967,2628.2110000000002,line,1.0,283.91201524231184,210.32665789452227,283.91201524231184,90.32665789452227,r1c2_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:30:43.747070000,1,4,28.54740139999967,4217.687,submit,,,,,,,,,1.0,3,False
10,2021_Oct_01_1059,0 days 00:31:04.465510000,2,1,18.064506600000186,980.533,line,1.3333,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:05.332162000,2,2,18.064506600000186,1847.185,line,1.3333,-204.5965670736252,280.0,-302.2982835368126,210.32665789452227,r0c0_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:06.467754000,2,3,18.064506600000186,2982.777,line,1.0,283.91201524231184,210.32665789452227,283.91201524231184,90.32665789452227,r1c2_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:08.071316000,2,4,18.064506600000186,4586.339,submit,,,,,,,,,1.0,3,False
10,2021_Oct_01_1059,0 days 00:31:41.620629000,3,1,31.189557199999854,1114.253,line,1.3333,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:43.120806000,3,2,31.189557199999854,2614.43,line,1.3333,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:45.323580000,3,3,31.189557199999854,4817.204,line,2.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:31:47.560482000,3,4,31.189557199999854,7054.106,submit,,,,,,,,,0.6666666666666666,3,False
10,2021_Oct_01_1059,0 days 00:31:59.290233000,4,1,10.26302540000006,499.617,line,1.0,88.50858231593702,210.32665789452227,88.50858231593702,90.32665789452227,r1c1_right,vertical,selected,,4,False
10,2021_Oct_01_1059,0 days 00:32:00.722075000,4,2,10.26302540000006,1931.4589999999998,line,1.0,-204.5965670736252,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_left,back_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:32:06.628690000,4,3,10.26302540000006,7838.074,line,1.3333,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:32:07.564408000,4,4,10.26302540000006,8773.792,submit,,,,,,,,,1.0,4,False
10,2021_Oct_01_1059,0 days 00:32:29.051487000,5,1,19.523576500000217,815.155,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:31.752513000,5,2,19.523576500000217,3516.181,line,1.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:37.223328000,5,3,19.523576500000217,8986.996,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,released,,3,False
10,2021_Oct_01_1059,0 days 00:32:37.625381000,5,4,19.523576500000217,9389.048999999999,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:38.559882000,5,5,19.523576500000217,10323.55,line,1.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,released,,3,False
10,2021_Oct_01_1059,0 days 00:32:39.429611000,5,6,19.523576500000217,11193.279,line,1.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:42.031588000,5,7,19.523576500000217,13795.256,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,released,,3,False
10,2021_Oct_01_1059,0 days 00:32:45.499894000,5,8,19.523576500000217,17263.562,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:46.601194000,5,9,19.523576500000217,18364.862,line,1.6667,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:32:47.804125000,5,10,19.523576500000217,19567.793,submit,,,,,,,,,0.6666666666666666,3,False
10,2021_Oct_01_1059,0 days 00:33:08.824266000,6,1,18.867540900000222,1183.246,line,1.0,-204.5965670736252,20.653315789044555,-204.5965670736252,-99.34668421095544,r2c0_right,vertical,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:10.192349000,6,2,18.867540900000222,2551.3289999999997,line,1.3333,186.21029877912443,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:14.930040000,6,3,18.867540900000222,7289.02,line,1.6667,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:17.100125000,6,4,18.867540900000222,9459.105,submit,,,,,,,,,0.6666666666666666,4,False
10,2021_Oct_01_1059,0 days 00:33:31.726854000,7,1,12.604182399999445,494.944,line,1.0,-204.5965670736252,400.0,-204.5965670736252,280.0,r0c0_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:33:33.398530000,7,2,12.604182399999445,2166.62,line,1.3333,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:33:38.169668000,7,3,12.604182399999445,6937.758,line,2.0,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:33:38.939001000,7,4,12.604182399999445,7707.091,submit,,,,,,,,,0.6666666666666666,3,False
10,2021_Oct_01_1059,0 days 00:33:45.994577000,8,1,5.935340299999552,413.548,line,1.0,381.6137317054993,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:47.062964000,8,2,5.935340299999552,1481.935,line,1.3333,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:50.432498000,8,3,5.935340299999552,4851.469,line,1.3333,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:33:51.368528000,8,4,5.935340299999552,5787.499,submit,,,,,,,,,1.0,4,False
10,2021_Oct_01_1059,0 days 00:34:01.994344000,9,1,9.247866499999873,432.085,line,1.0,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:02.827050000,9,2,9.247866499999873,1264.791,line,1.3333,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:03.560541000,9,3,9.247866499999873,1998.2820000000002,line,1.3333,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:05.064692000,9,4,9.247866499999873,3502.433,submit,,,,,,,,,1.0,3,False
10,2021_Oct_01_1059,0 days 00:34:17.425251000,10,1,11.085949299999811,493.813,line,1.0,381.6137317054993,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:34:19.793947000,10,2,11.085949299999811,2862.509,line,1.3333,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:34:21.528694000,10,3,11.085949299999811,4597.256,line,1.3333,-204.5965670736252,20.653315789044555,-204.5965670736252,-99.34668421095544,r2c0_right,vertical,selected,,4,False
10,2021_Oct_01_1059,0 days 00:34:22.664058000,10,4,11.085949299999811,5732.62,submit,,,,,,,,,1.0,4,False
10,2021_Oct_01_1059,0 days 00:34:30.637667000,11,1,6.614108499999929,612.735,line,1.0,381.6137317054993,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:31.304974000,11,2,6.614108499999929,1280.042,line,1.6667,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:32.006249000,11,3,6.614108499999929,1981.317,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:34.026892000,11,4,6.614108499999929,4001.96,submit,,,,,,,,,1.0,3,False
10,2021_Oct_01_1059,0 days 00:34:43.534405000,12,1,7.419279199999437,1297.117,line,1.0,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:44.634910000,12,2,7.419279199999437,2397.622,line,1.0,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:47.471233000,12,3,7.419279199999437,5233.945,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:34:49.208396000,12,4,7.419279199999437,6971.108,submit,,,,,,,,,0.6666666666666666,3,False
10,2021_Oct_01_1059,0 days 00:35:10.043430000,13,1,19.280952299999626,647.79,line,1.3333,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:10.779060000,13,2,19.280952299999626,1383.42,line,1.3333,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:12.213746000,13,3,19.280952299999626,2818.1059999999998,line,1.3333,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:13.081549000,13,4,19.280952299999626,3685.909,submit,,,,,,,,,1.0,4,False
10,2021_Oct_01_1059,0 days 00:35:26.710625000,14,1,12.080224799999996,881.533,line,1.6667,-204.5965670736252,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:35:27.744609000,14,2,12.080224799999996,1915.517,line,1.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,selected,,3,False
10,2021_Oct_01_1059,0 days 00:35:29.012779000,14,3,12.080224799999996,3183.687,line,1.6667,-204.5965670736252,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_left,back_slash,selected,,3,False
10,2021_Oct_01_1059,0 days 00:35:30.215227000,14,4,12.080224799999996,4386.135,submit,,,,,,,,,1.0,3,False
10,2021_Oct_01_1059,0 days 00:35:45.077590000,15,1,13.58398120000038,546.284,line,1.0,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:45.211316000,15,2,13.58398120000038,680.01,line,1.0,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,released,,4,False
10,2021_Oct_01_1059,0 days 00:35:46.045460000,15,3,13.58398120000038,1514.154,line,1.6667,-9.19313414725039,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:49.301807000,15,4,13.58398120000038,4770.501,line,1.6667,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:51.434127000,15,5,13.58398120000038,6902.821,line,1.0,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:35:52.303651000,15,6,13.58398120000038,7772.345,submit,,,,,,,,,0.3333333333333333,4,False
10,2021_Oct_01_1059,0 days 00:36:09.886894000,16,1,16.326870800000506,498.522,line,1.0,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:36:10.987275000,16,2,16.326870800000506,1598.903,line,1.3333,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:36:13.622401000,16,3,16.326870800000506,4234.029,line,1.6667,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,4,False
10,2021_Oct_01_1059,0 days 00:36:15.526209000,16,4,16.326870800000506,6137.8369999999995,submit,,,,,,,,,1.0,4,False
10,2021_Oct_01_1059,0 days 00:36:25.951212000,17,1,8.379038799999762,1198.739,line,1.0,-9.19313414725039,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_left,back_slash,selected,,5,False
10,2021_Oct_01_1059,0 days 00:36:27.020083000,17,2,8.379038799999762,2267.61,line,1.3333,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,5,False
10,2021_Oct_01_1059,0 days 00:36:27.754106000,17,3,8.379038799999762,3001.633,line,1.0,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,5,False
10,2021_Oct_01_1059,0 days 00:36:29.023617000,17,4,8.379038799999762,4271.144,submit,,,,,,,,,1.0,5,False
