participant,trial_count,line_width,line_id,line_orientation
10,2,1.0,r1c2_right,vertical
10,2,1.3333,r0c0_bottom_right,forward_slash
10,2,1.3333,r2c0_bottom_right,forward_slash
10,4,1.0,r0c1_bottom_left,back_slash
10,4,1.0,r1c1_right,vertical
10,4,1.3333,r0c2_bottom_right,forward_slash
10,4,1.3333,r0c3_bottom_right,forward_slash
10,7,1.0,r0c0_right,vertical
10,7,1.3333,r0c1_right,vertical
10,7,1.3333,r1c1_bottom_right,forward_slash
10,8,1.0,r2c3_bottom_right,forward_slash
10,8,1.3333,r0c3_bottom_left,back_slash
10,8,1.3333,r1c2_bottom_right,forward_slash
10,8,1.3333,r2c0_bottom_right,forward_slash
10,9,1.0,r1c2_bottom_right,forward_slash
10,9,1.3333,r1c0_bottom_left,back_slash
10,9,1.3333,r1c2_bottom_left,back_slash
10,10,1.0,r0c3_bottom_right,forward_slash
10,10,1.3333,r0c1_bottom_left,back_slash
10,10,1.3333,r1c0_bottom_right,forward_slash
10,10,1.3333,r2c0_right,vertical
10,11,1.0,r0c3_bottom_right,forward_slash
10,11,1.3333,r2c2_bottom_left,back_slash
10,11,1.6667,r1c2_bottom_right,forward_slash
10,12,1.0,r1c0_bottom_right,forward_slash
10,12,1.0,r1c1_bottom_right,forward_slash
10,12,1.0,r3c0_right,vertical
10,14,1.0,r1c0_right,vertical
10,14,1.6667,r0c1_bottom_left,back_slash
10,14,1.6667,r2c1_bottom_left,back_slash
10,15,1.0,r1c0_bottom_left,back_slash
10,15,1.3333,r0c1_right,vertical
10,15,1.3333,r2c0_right,vertical
10,15,1.3333,r3c1_right,vertical
10,16,1.0,r1c0_bottom_right,forward_slash
10,16,1.3333,r2c1_bottom_right,forward_slash
10,16,1.6667,r1c0_bottom_left,back_slash
10,16,1.6667,r1c1_bottom_right,forward_slash
10,17,1.0,r0c2_bottom_left,back_slash
10,17,1.0,r1c2_bottom_left,back_slash
10,17,1.3333,r1c1_bottom_left,back_slash
10,17,1.3333,r1c1_bottom_right,forward_slash
10,17,1.3333,r2c2_bottom_right,forward_slash
10,19,1.3333,r1c1_right,vertical
10,19,1.3333,r3c2_right,vertical
10,19,1.6667,r0c0_bottom_right,forward_slash
10,20,1.0,r1c2_bottom_right,forward_slash
10,20,1.3333,r2c1_bottom_left,back_slash
10,20,1.6667,r0c3_bottom_right,forward_slash
10,21,1.3333,r0c1_bottom_right,forward_slash
10,21,1.3333,r0c3_bottom_left,back_slash
10,21,1.3333,r2c0_bottom_right,forward_slash
10,22,1.3333,r0c1_bottom_right,forward_slash
10,22,1.3333,r0c1_right,vertical
10,22,1.3333,r1c3_bottom_left,back_slash
10,22,1.3333,r2c3_bottom_left,back_slash
10,22,1.3333,r3c0_right,vertical
10,23,1.0,r2c1_bottom_left,back_slash
10,23,1.0,r3c2_right,vertical
10,23,1.3333,r0c2_bottom_left,back_slash
10,23,1.3333,r1c0_bottom_right,forward_slash
10,24,1.0,r3c0_right,vertical
10,24,1.3333,r1c1_bottom_right,forward_slash
10,24,1.3333,r1c1_right,vertical
10,24,1.3333,r2c2_bottom_right,forward_slash
10,24,1.3333,r3c1_right,vertical
10,25,1.3333,r0c2_right,vertical
10,25,1.3333,r1c0_bottom_left,back_slash
10,25,1.3333,r1c2_bottom_right,forward_slash
10,25,1.3333,r2c2_bottom_left,back_slash
10,26,1.3333,r3c0_right,vertical
10,26,1.6667,r1c2_right,vertical
10,26,2.0,r0c2_bottom_left,back_slash
