"subject","click_order","RT","Accuracy"
1,1,662.253794871795,0.794871794871795
1,2,1515.64546153846,0.730769230769231
1,3,1993.37153846154,0.653846153846154
2,1,771.743584415584,0.974025974025974
2,2,1143.0627012987,0.87012987012987
2,3,1900.18914285714,0.766233766233766
3,1,1641.41397297297,0.918918918918919
3,2,1695.37624324324,0.689189189189189
3,3,2077.89313513514,0.702702702702703
4,1,385.097827956989,0.924731182795699
4,2,900.617430107527,0.838709677419355
4,3,1120.06596774194,0.763440860215054
5,1,656.080676923077,0.984615384615385
5,2,2304.30749230769,0.953846153846154
5,3,4799.66858461539,0.846153846153846
6,1,2012.32016666667,0.979166666666667
6,2,2481.53527083333,0.875
6,3,3078.41239583333,0.75
7,1,1460.04988059701,0.865671641791045
7,2,1991.84840298507,0.82089552238806
7,3,2531.52946268657,0.761194029850746
8,1,893.8234,0.9375
8,2,2402.096025,0.8125
8,3,2877.8168125,0.7625
9,1,996.47875862069,0.781609195402299
9,2,1576.39291954023,0.758620689655172
9,3,1567.60918390805,0.67816091954023
10,1,601.366144444444,0.966666666666667
10,2,1217.04314444444,0.811111111111111
10,3,1852.57766666667,0.811111111111111
11,1,1207.24596363636,0.927272727272727
11,2,2421.8674,0.836363636363636
11,3,3250.26085454545,0.836363636363636
12,1,719.537168539326,0.97752808988764
12,2,2263.28470786517,0.887640449438202
12,3,2601.28308988764,0.719101123595506
13,1,665.811352272727,0.852272727272727
13,2,1824.65560227273,0.670454545454545
13,3,1748.59754545455,0.556818181818182
14,1,455.616835294118,0.929411764705882
14,2,1124.0544,0.847058823529412
14,3,1346.04675294118,0.647058823529412
15,1,680.56521978022,0.956043956043956
15,2,2279.99371428571,0.813186813186813
15,3,2603.74737362637,0.714285714285714
16,1,836.62072631579,0.863157894736842
16,2,1662.62536842105,0.726315789473684
16,3,2141.08597894737,0.652631578947368
17,1,1849.0182278481,0.886075949367089
17,2,1556.21130379747,0.784810126582278
17,3,2353.5164556962,0.708860759493671
18,1,1597.47994736842,0.960526315789474
18,2,2075.33863157895,0.868421052631579
18,3,3793.09496052632,0.776315789473684
19,1,897.801911392405,0.886075949367089
19,2,1310.5866835443,0.810126582278481
19,3,1415.05906329114,0.658227848101266
20,1,1716.03408888889,0.977777777777778
20,2,3605.96686666667,0.888888888888889
20,3,5667.51553333333,0.8
21,1,594.5688,0.9
21,2,1162.27636666667,0.844444444444444
21,3,1447.6721,0.833333333333333
22,1,1910.92889361702,0.861702127659574
22,2,1610.40056382979,0.712765957446808
22,3,2038.38740425532,0.734042553191489
23,1,1280.70348051948,0.909090909090909
23,2,1708.51233766234,0.805194805194805
23,3,2350.97411688312,0.74025974025974
24,1,2256.91340816327,0.938775510204082
24,2,2098.30618367347,0.918367346938776
24,3,4221.39087755102,0.775510204081633
25,1,2573.13344736842,0.934210526315789
25,2,2857.38647368421,0.855263157894737
25,3,3310.99957894737,0.631578947368421
26,1,1045.9647037037,0.981481481481482
26,2,1927.96131481481,0.851851851851852
26,3,2218.70648148148,0.796296296296296
91,1,1088.95750632911,0.911392405063291
91,2,1704.10374683544,0.848101265822785
91,3,2589.89265822785,0.658227848101266
92,1,630.814678571429,0.80952380952381
92,2,1247.14983333333,0.714285714285714
92,3,1488.14216666667,0.630952380952381
93,1,1366.67055789474,0.842105263157895
93,2,1720.95950526316,0.694736842105263
93,3,2093.03708421053,0.652631578947368
94,1,757.041746835443,0.924050632911392
94,2,2151.66897468354,0.873417721518987
94,3,3474.70548101266,0.721518987341772
99,1,757.041746835443,0.924050632911392
99,2,2151.66897468354,0.873417721518987
99,3,3474.70548101266,0.721518987341772
