"participant","quadrant","count","proportion"
1,"I",29,0.0322222222222222
1,"II",32,0.0355555555555556
1,"III",30,0.0333333333333333
1,"IV",35,0.0388888888888889
1,"x_axis",87,0.0483333333333333
1,"y_axis",41,0.0455555555555556
2,"I",34,0.0377777777777778
2,"II",38,0.0422222222222222
2,"III",38,0.0422222222222222
2,"IV",32,0.0355555555555556
2,"x_axis",68,0.0377777777777778
2,"y_axis",23,0.0255555555555556
3,"I",35,0.0388888888888889
3,"II",34,0.0377777777777778
3,"III",38,0.0422222222222222
3,"IV",43,0.0477777777777778
3,"x_axis",70,0.0388888888888889
3,"y_axis",43,0.0477777777777778
4,"I",34,0.0377777777777778
4,"II",42,0.0466666666666667
4,"III",41,0.0455555555555556
4,"IV",38,0.0422222222222222
4,"x_axis",68,0.0377777777777778
4,"y_axis",49,0.0544444444444444
5,"I",20,0.0222222222222222
5,"II",34,0.0377777777777778
5,"III",27,0.03
5,"IV",29,0.0322222222222222
5,"x_axis",49,0.0272222222222222
5,"y_axis",36,0.04
6,"I",38,0.0422222222222222
6,"II",30,0.0333333333333333
6,"III",30,0.0333333333333333
6,"IV",36,0.04
6,"x_axis",72,0.04
6,"y_axis",35,0.0388888888888889
7,"I",20,0.0222222222222222
7,"II",29,0.0322222222222222
7,"III",35,0.0388888888888889
7,"IV",24,0.0266666666666667
7,"x_axis",68,0.0377777777777778
7,"y_axis",40,0.0444444444444444
8,"I",39,0.0433333333333333
8,"II",38,0.0422222222222222
8,"III",26,0.0288888888888889
8,"IV",36,0.04
8,"x_axis",74,0.0411111111111111
8,"y_axis",39,0.0433333333333333
9,"I",27,0.03
9,"II",36,0.04
9,"III",43,0.0477777777777778
9,"IV",32,0.0355555555555556
9,"x_axis",64,0.0355555555555556
9,"y_axis",31,0.0344444444444444
10,"I",34,0.0377777777777778
10,"II",32,0.0355555555555556
10,"III",28,0.0311111111111111
10,"IV",35,0.0388888888888889
10,"x_axis",73,0.0405555555555556
