"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","drop_marker","indecision_trial","accuracy_type"
27,"2021_Oct_13_1358","0 days 00:03:25.437133000",1,1,7.4955248000042,2880.691,"line",1.6667,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,4,"False","27_1",0,"hit"
27,"2021_Oct_13_1358","0 days 00:03:27.807610000",1,2,7.4955248000042,5251.168,"line",1,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False","27_1",0,"hit"
27,"2021_Oct_13_1358","0 days 00:03:35.915302000",1,3,7.4955248000042,13358.86,"line",1.6667,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,4,"False","27_1",0,"hit"
27,"2021_Oct_13_1358","0 days 00:03:37.118676000",1,4,7.4955248000042,14562.234,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","27_1",0,NA
27,"2021_Oct_13_1358","0 days 00:04:34.774233000",3,1,2.42121659999248,10441.178,"line",1,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False","27_3",0,"hit"
27,"2021_Oct_13_1358","0 days 00:04:37.176477000",3,2,2.42121659999248,12843.422,"line",1.3333,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_3",0,"hit"
27,"2021_Oct_13_1358","0 days 00:04:40.046854000",3,3,2.42121659999248,15713.799,"line",1,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,3,"False","27_3",0,"hit"
27,"2021_Oct_13_1358","0 days 00:04:50.892081000",3,4,2.42121659999248,26559.026,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False","27_3",0,NA
27,"2021_Oct_13_1358","0 days 00:05:07.908001000",4,1,8.03085989999818,7171.706,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,3,"False","27_4",0,"hit"
27,"2021_Oct_13_1358","0 days 00:05:09.242581000",4,2,8.03085989999818,8506.286,"line",1,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,3,"False","27_4",0,"hit"
27,"2021_Oct_13_1358","0 days 00:05:20.352707000",4,3,8.03085989999818,19616.412,"line",1.6667,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False","27_4",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:05:22.257805000",4,4,8.03085989999818,21521.51,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_4",0,NA
27,"2021_Oct_13_1358","0 days 00:05:33.698948000",5,1,8.39998409998952,1180.808,"line",1.3333,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,4,"False","27_5",1,NA
27,"2021_Oct_13_1358","0 days 00:05:34.917470000",5,2,8.39998409998952,2399.33,"line",1.6667,-9.19313414725039,400,-9.19313414725039,280,"r0c1_right","vertical","selected",NA,4,"False","27_5",1,NA
27,"2021_Oct_13_1358","0 days 00:05:36.118586000",5,3,8.39998409998952,3600.446,"line",1,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,4,"False","27_5",1,"hit"
27,"2021_Oct_13_1358","0 days 00:05:40.906879000",5,4,8.39998409998952,8388.739,"line",1.3333,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","released",NA,4,"False","27_5",1,NA
27,"2021_Oct_13_1358","0 days 00:05:43.608162000",5,5,8.39998409998952,11090.022,"line",1.6667,-9.19313414725039,400,-9.19313414725039,280,"r0c1_right","vertical","released",NA,4,"False","27_5",1,NA
27,"2021_Oct_13_1358","0 days 00:05:44.860665000",5,6,8.39998409998952,12342.525,"line",1,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,4,"False","27_5",1,"hit"
27,"2021_Oct_13_1358","0 days 00:05:45.962001000",5,7,8.39998409998952,13443.861,"line",1,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,4,"False","27_5",1,"hit"
27,"2021_Oct_13_1358","0 days 00:05:47.231228000",5,8,8.39998409998952,14713.088,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","27_5",1,NA
27,"2021_Oct_13_1358","0 days 00:06:27.887780000",7,1,1.60921629999939,3401.6,"line",1,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"hit"
27,"2021_Oct_13_1358","0 days 00:06:29.020996000",7,2,1.60921629999939,4534.816,"line",1,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"hit"
27,"2021_Oct_13_1358","0 days 00:06:35.661631000",7,3,1.60921629999939,11175.451,"line",2,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:06:36.814174000",7,4,1.60921629999939,12327.994,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_7",0,NA
27,"2021_Oct_13_1358","0 days 00:06:50.058600000",8,1,0.364707900007488,10875.41,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:53.594991000",8,2,0.364707900007488,14411.801,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:53.729740000",8,3,0.364707900007488,14546.55,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False","27_8",1,"hit"
27,"2021_Oct_13_1358","0 days 00:06:53.996362000",8,4,0.364707900007488,14813.172,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.130557000",8,5,0.364707900007488,14947.367,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.263142000",8,6,0.364707900007488,15079.952,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.396563000",8,7,0.364707900007488,15213.373,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.530208000",8,8,0.364707900007488,15347.018,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.663105000",8,9,0.364707900007488,15479.915,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:54.796512000",8,10,0.364707900007488,15613.322,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:56.349648000",8,11,0.364707900007488,17166.458,"line",3,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:57.782988000",8,12,0.364707900007488,18599.798,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:57.916728000",8,13,0.364707900007488,18733.538,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:58.050085000",8,14,0.364707900007488,18866.895,"line",1.3333,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:58.183975000",8,15,0.364707900007488,19000.785,"line",1.3333,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:06:58.317210000",8,16,0.364707900007488,19134.02,"line",1.3333,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,4,"False","27_8",1,"hit"
27,"2021_Oct_13_1358","0 days 00:07:02.054850000",8,17,0.364707900007488,22871.66,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:07:02.187675000",8,18,0.364707900007488,23004.485,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","released",NA,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:07:04.089275000",8,19,0.364707900007488,24906.085,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,4,"False","27_8",1,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:07:15.635631000",8,20,0.364707900007488,36452.441,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False","27_8",1,NA
27,"2021_Oct_13_1358","0 days 00:07:24.209976000",9,1,1.42305169999599,5536.867,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_9",1,NA
27,"2021_Oct_13_1358","0 days 00:07:28.362905000",9,2,1.42305169999599,9689.796,"line",1,186.210298779124,400,186.210298779124,280,"r0c2_right","vertical","selected",NA,3,"False","27_9",1,"hit"
27,"2021_Oct_13_1358","0 days 00:07:32.700987000",9,3,1.42305169999599,14027.878,"line",1.6667,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,3,"False","27_9",1,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:07:39.574832000",9,4,1.42305169999599,20901.723,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","released",NA,3,"False","27_9",1,NA
27,"2021_Oct_13_1358","0 days 00:07:41.509749000",9,5,1.42305169999599,22836.64,"line",1.3333,283.912015242312,210.326657894522,283.912015242312,90.3266578945223,"r1c2_right","vertical","selected",NA,3,"False","27_9",1,"hit"
27,"2021_Oct_13_1358","0 days 00:07:42.613023000",9,6,1.42305169999599,23939.914,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_9",1,NA
27,"2021_Oct_13_1358","0 days 00:08:59.754164000",12,1,1.04265149999992,2749.177,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:00.555278000",12,2,1.04265149999992,3550.291,"line",1.3333,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:04.760535000",12,3,1.04265149999992,7755.548,"line",1.3333,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:07.197124000",12,4,1.04265149999992,10192.137,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","27_12",0,NA
27,"2021_Oct_13_1358","0 days 00:09:25.663470000",13,1,13.5790474000096,3030.931,"line",1,-9.19313414725039,400,-9.19313414725039,280,"r0c1_right","vertical","selected",NA,3,"False","27_13",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:27.198303000",13,2,13.5790474000096,4565.764,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"False","27_13",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:27.783240000",13,3,13.5790474000096,5150.701,"line",1,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,3,"False","27_13",0,"hit"
27,"2021_Oct_13_1358","0 days 00:09:30.170228000",13,4,13.5790474000096,7537.689,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False","27_13",0,NA
27,"2021_Oct_13_1358","0 days 00:11:02.309699000",16,1,0.934019499996793,5369.67,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False","27_16",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:04.345932000",16,2,0.934019499996793,7405.903,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,4,"False","27_16",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:08.282507000",16,3,0.934019499996793,11342.478,"line",1,186.210298779124,400,186.210298779124,280,"r0c2_right","vertical","selected",NA,4,"False","27_16",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:10.019233000",16,4,0.934019499996793,13079.204,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","27_16",0,NA
27,"2021_Oct_13_1358","0 days 00:11:29.837664000",17,1,0.739987099994323,17431.699,"line",1.3333,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,7,"False","27_17",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:32.507084000",17,2,0.739987099994323,20101.119,"line",2,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,7,"False","27_17",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:36.510671000",17,3,0.739987099994323,24104.706,"line",2,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,7,"False","27_17",0,"hit"
27,"2021_Oct_13_1358","0 days 00:11:37.830059000",17,4,0.739987099994323,25424.094,"submit",NA,NA,NA,NA,NA,"","","",1,7,"False","27_17",0,NA
27,"2021_Oct_13_1358","0 days 00:12:26.326621000",19,1,2.10689450000064,7687.879,"line",1.6667,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False","27_19",0,"hit"
27,"2021_Oct_13_1358","0 days 00:12:36.656296000",19,2,2.10689450000064,18017.554,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_19",0,"hit"
27,"2021_Oct_13_1358","0 days 00:12:43.426869000",19,3,2.10689450000064,24788.127,"line",2,-302.298283536813,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_left","back_slash","selected",NA,3,"False","27_19",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:12:45.063883000",19,4,2.10689450000064,26425.141,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_19",0,NA
27,"2021_Oct_13_1358","0 days 00:12:50.734268000",20,1,1.14424509998935,2917.023,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,6,"False","27_20",1,"hit"
27,"2021_Oct_13_1358","0 days 00:12:52.369422000",20,2,1.14424509998935,4552.177,"line",1,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,6,"False","27_20",1,"hit"
27,"2021_Oct_13_1358","0 days 00:12:59.877132000",20,3,1.14424509998935,12059.887,"line",1.3333,283.912015242312,-169.020026316433,283.912015242312,-289.020026316433,"r3c2_right","vertical","selected",NA,6,"False","27_20",1,NA
27,"2021_Oct_13_1358","0 days 00:13:00.010512000",20,4,1.14424509998935,12193.267,"line",1.3333,283.912015242312,-169.020026316433,283.912015242312,-289.020026316433,"r3c2_right","vertical","released",NA,6,"False","27_20",1,NA
27,"2021_Oct_13_1358","0 days 00:13:06.019943000",20,5,1.14424509998935,18202.698,"line",1.3333,283.912015242312,-169.020026316433,283.912015242312,-289.020026316433,"r3c2_right","vertical","selected",NA,6,"False","27_20",1,"hit"
27,"2021_Oct_13_1358","0 days 00:13:06.952252000",20,6,1.14424509998935,19135.007,"submit",NA,NA,NA,NA,NA,"","","",1,6,"False","27_20",1,NA
27,"2021_Oct_13_1358","0 days 00:13:23.516848000",21,1,11.6205180999968,3450.364,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False","27_21",1,NA
27,"2021_Oct_13_1358","0 days 00:13:23.652821000",21,2,11.6205180999968,3586.337,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","released",NA,4,"False","27_21",1,NA
27,"2021_Oct_13_1358","0 days 00:13:26.052836000",21,3,11.6205180999968,5986.352,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False","27_21",1,"hit"
27,"2021_Oct_13_1358","0 days 00:13:28.422872000",21,4,11.6205180999968,8356.388,"line",1,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False","27_21",1,"hit"
27,"2021_Oct_13_1358","0 days 00:13:29.591029000",21,5,11.6205180999968,9524.545,"line",1,283.912015242312,-169.020026316433,283.912015242312,-289.020026316433,"r3c2_right","vertical","selected",NA,4,"False","27_21",1,"hit"
27,"2021_Oct_13_1358","0 days 00:13:30.358719000",21,6,11.6205180999968,10292.235,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","27_21",1,NA
27,"2021_Oct_13_1358","0 days 00:13:35.562168000",22,1,0.314595699994243,3099.778,"line",1,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False","27_22",0,"hit"
27,"2021_Oct_13_1358","0 days 00:13:41.535933000",22,2,0.314595699994243,9073.543,"line",1.6667,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,3,"False","27_22",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:13:43.786945000",22,3,0.314595699994243,11324.555,"line",1.6667,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_22",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:13:45.224111000",22,4,0.314595699994243,12761.721,"submit",NA,NA,NA,NA,NA,"","","",0.333333333333333,3,"False","27_22",0,NA
27,"2021_Oct_13_1358","0 days 00:14:27.647817000",24,1,0.770145800008322,2983.107,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,4,"False","27_24",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:32.669012000",24,2,0.770145800008322,8004.302,"line",1.3333,283.912015242312,90.3266578945223,381.613731705499,20.6533157890446,"r1c3_bottom_left","back_slash","selected",NA,4,"False","27_24",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:34.787800000",24,3,0.770145800008322,10123.09,"line",2,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,4,"False","27_24",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:35.390847000",24,4,0.770145800008322,10726.137,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False","27_24",0,NA
27,"2021_Oct_13_1358","0 days 00:14:39.942144000",25,1,0.343129800006864,2748.63,"line",2,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,4,"False","27_25",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:41.211200000",25,2,0.343129800006864,4017.686,"line",1,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,4,"False","27_25",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:45.014806000",25,3,0.343129800006864,7821.292,"line",2,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,4,"False","27_25",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:45.717668000",25,4,0.343129800006864,8524.154,"submit",NA,NA,NA,NA,NA,"","","",0.333333333333333,4,"False","27_25",0,NA
27,"2021_Oct_13_1358","0 days 00:14:49.769363000",26,1,0.22174590000941,2282.174,"line",1.3333,-302.298283536813,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_left","back_slash","selected",NA,3,"False","27_26",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:51.172875000",26,2,0.22174590000941,3685.686,"line",1.6667,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,3,"False","27_26",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:51.938333000",26,3,0.22174590000941,4451.144,"line",1.3333,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"False","27_26",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:52.641125000",26,4,0.22174590000941,5153.936,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_26",0,NA
27,"2021_Oct_13_1358","0 days 00:14:56.927606000",27,1,0.785065399992163,2317.448,"line",2,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,3,"False","27_27",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:58.261203000",27,2,0.785065399992163,3651.045,"line",2,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_27",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:14:59.129116000",27,3,0.785065399992163,4518.958,"line",1,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_27",0,"hit"
27,"2021_Oct_13_1358","0 days 00:14:59.666054000",27,4,0.785065399992163,5055.896,"submit",NA,NA,NA,NA,NA,"","","",0.333333333333333,3,"False","27_27",0,NA
27,"2021_Oct_13_1358","0 days 00:15:04.153238000",28,1,0.130919599992922,3220.046,"line",1.6667,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,3,"False","27_28",0,"false_alarm"
27,"2021_Oct_13_1358","0 days 00:15:05.118227000",28,2,0.130919599992922,4185.035,"line",1,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,3,"False","27_28",0,"hit"
27,"2021_Oct_13_1358","0 days 00:15:06.119953000",28,3,0.130919599992922,5186.761,"line",1.3333,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,3,"False","27_28",0,"hit"
27,"2021_Oct_13_1358","0 days 00:15:13.445652000",28,4,0.130919599992922,12512.46,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","27_28",0,NA
27,"2021_Oct_13_1358","0 days 00:15:18.364748000",29,1,0.871039600009681,2550.561,"line",1.3333,-204.596567073625,20.6533157890446,-204.596567073625,-99.3466842109554,"r2c0_right","vertical","selected",NA,4,"False","27_29",0,"hit"
27,"2021_Oct_13_1358","0 days 00:15:21.367907000",29,2,0.871039600009681,5553.72,"line",1.3333,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,4,"False","27_29",0,"hit"
27,"2021_Oct_13_1358","0 days 00:15:26.690291000",29,3,0.871039600009681,10876.104,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,4,"False","27_29",0,"hit"
