participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:03:50.701515000,0,1,20.145983800000067,2257.7219999999998,line,1.3333,-204.5965670736252,280.0,-302.2982835368126,210.32665789452227,r0c0_bottom_right,forward_slash,selected,,5,True,False,,,,
59,2021_Oct_29_1030,0 days 00:03:52.335821000,0,2,20.145983800000067,3892.0280000000002,line,1.3333,-9.19313414725039,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_left,back_slash,selected,,5,True,False,,,,
59,2021_Oct_29_1030,0 days 00:03:54.272049000,0,3,20.145983800000067,5828.256,line,1.3333,186.21029877912443,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_left,back_slash,selected,,5,True,False,,,,
59,2021_Oct_29_1030,0 days 00:03:57.777328000,0,4,20.145983800000067,9333.535,submit,,,,,,,,,1.0,5,True,False,,,,
59,2021_Oct_29_1030,0 days 00:04:56.334246000,1,1,21.060811000000285,862.95,line,1.6667,186.21029877912443,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:04:57.102628000,1,2,21.060811000000285,1631.3319999999999,line,1.6667,186.21029877912443,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:04:58.301994000,1,3,21.060811000000285,2830.698,line,1.6667,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:05:00.006718000,1,4,21.060811000000285,4535.4220000000005,submit,,,,,,,,,1.0,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:05:33.221589000,2,1,30.507871399999203,748.919,line,1.6667,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:05:34.087956000,2,2,30.507871399999203,1615.286,line,2.0,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,3,False,False,,,,
