participant,trial_count,line_width,line_id,line_orientation
59,0,1.3333,r0c0_bottom_right,forward_slash
59,0,1.3333,r0c2_bottom_left,back_slash
59,0,1.3333,r1c0_right,vertical
59,0,1.3333,r2c1_bottom_left,back_slash
59,0,1.3333,r2c3_bottom_left,back_slash
59,1,1.3333,r2c2_right,vertical
59,1,1.6667,r0c0_right,vertical
59,1,1.6667,r0c3_bottom_left,back_slash
59,1,1.6667,r2c2_bottom_right,forward_slash
59,1,1.6667,r2c3_bottom_left,back_slash
59,2,1.3333,r0c2_right,vertical
59,2,1.3333,r1c1_right,vertical
59,2,1.3333,r2c2_right,vertical
59,3,1.3333,r1c1_right,vertical
59,3,1.3333,r2c2_bottom_left,back_slash
59,3,1.3333,r2c3_bottom_left,back_slash
59,3,1.3333,r3c1_right,vertical
59,4,1.3333,r0c1_bottom_left,back_slash
59,4,1.3333,r0c2_bottom_left,back_slash
59,4,1.3333,r0c3_bottom_right,forward_slash
59,4,1.3333,r3c0_right,vertical
59,5,1.0,r0c1_bottom_right,forward_slash
59,5,1.3333,r0c1_right,vertical
59,5,1.3333,r1c2_bottom_right,forward_slash
59,5,1.3333,r2c3_bottom_left,back_slash
59,6,1.0,r0c0_right,vertical
59,6,1.0,r1c2_right,vertical
59,6,1.3333,r0c1_bottom_right,forward_slash
59,6,1.3333,r0c3_bottom_right,forward_slash
59,6,1.3333,r1c2_bottom_left,back_slash
59,6,1.3333,r1c2_bottom_right,forward_slash
59,6,1.3333,r2c3_bottom_left,back_slash
59,7,1.0,r2c2_bottom_left,back_slash
59,7,1.0,r2c3_bottom_left,back_slash
59,7,1.3333,r0c1_bottom_left,back_slash
59,7,1.3333,r0c2_bottom_right,forward_slash
59,7,1.3333,r1c0_right,vertical
59,8,1.0,r1c2_bottom_left,back_slash
59,8,1.3333,r0c0_bottom_right,forward_slash
59,8,1.3333,r0c0_right,vertical
59,8,1.3333,r1c2_bottom_right,forward_slash
59,8,1.3333,r2c2_bottom_right,forward_slash
59,9,1.3333,r1c3_bottom_left,back_slash
59,9,1.3333,r2c3_bottom_left,back_slash
59,9,1.6667,r1c1_bottom_right,forward_slash
59,9,1.6667,r3c2_right,vertical
59,10,1.6667,r0c1_bottom_right,forward_slash
59,10,1.6667,r0c3_bottom_left,back_slash
59,10,1.6667,r2c0_bottom_right,forward_slash
59,11,1.0,r0c2_bottom_left,back_slash
59,11,1.0,r1c0_bottom_right,forward_slash
59,11,1.0,r1c1_bottom_right,forward_slash
59,12,1.0,r1c1_right,vertical
59,12,1.3333,r0c2_bottom_right,forward_slash
59,12,1.3333,r2c1_bottom_left,back_slash
59,12,1.3333,r2c1_right,vertical
59,13,1.0,r2c0_right,vertical
59,13,1.3333,r1c0_bottom_right,forward_slash
59,13,1.3333,r1c0_right,vertical
59,13,1.3333,r1c1_right,vertical
59,13,1.3333,r2c1_right,vertical
59,13,1.3333,r3c0_right,vertical
59,14,1.3333,r1c2_bottom_right,forward_slash
59,14,1.6667,r0c1_bottom_left,back_slash
59,14,1.6667,r2c1_right,vertical
59,15,1.3333,r1c0_right,vertical
59,15,1.3333,r1c2_bottom_left,back_slash
59,15,1.3333,r2c3_bottom_left,back_slash
59,16,1.3333,r1c2_bottom_right,forward_slash
59,16,1.3333,r2c1_right,vertical
59,16,1.3333,r2c2_bottom_left,back_slash
59,17,1.0,r1c0_right,vertical
59,17,1.0,r1c2_bottom_left,back_slash
59,17,1.3333,r1c2_bottom_right,forward_slash
59,17,1.3333,r2c2_right,vertical
59,18,1.0,r0c2_bottom_right,forward_slash
59,18,1.0,r0c2_right,vertical
59,18,1.0,r2c3_bottom_left,back_slash
59,18,1.0,r3c2_right,vertical
