"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
59,0,1.3333,"r0c0_bottom_right","forward_slash","59_0"
59,0,1.3333,"r0c2_bottom_left","back_slash","59_0"
59,0,1.3333,"r1c0_right","vertical","59_0"
59,0,1.3333,"r2c1_bottom_left","back_slash","59_0"
59,0,1.3333,"r2c3_bottom_left","back_slash","59_0"
59,1,1.3333,"r2c2_right","vertical","59_1"
59,1,1.6667,"r0c0_right","vertical","59_1"
59,1,1.6667,"r0c3_bottom_left","back_slash","59_1"
59,1,1.6667,"r2c2_bottom_right","forward_slash","59_1"
59,1,1.6667,"r2c3_bottom_left","back_slash","59_1"
59,2,1.3333,"r0c2_right","vertical","59_2"
59,2,1.3333,"r1c1_right","vertical","59_2"
59,2,1.3333,"r2c2_right","vertical","59_2"
59,4,1.3333,"r0c1_bottom_left","back_slash","59_4"
59,4,1.3333,"r0c2_bottom_left","back_slash","59_4"
59,4,1.3333,"r0c3_bottom_right","forward_slash","59_4"
59,4,1.3333,"r3c0_right","vertical","59_4"
59,5,1,"r0c1_bottom_right","forward_slash","59_5"
59,5,1.3333,"r0c1_right","vertical","59_5"
59,5,1.3333,"r1c2_bottom_right","forward_slash","59_5"
59,5,1.3333,"r2c3_bottom_left","back_slash","59_5"
59,6,1,"r0c0_right","vertical","59_6"
59,6,1,"r1c2_right","vertical","59_6"
59,6,1.3333,"r0c1_bottom_right","forward_slash","59_6"
59,6,1.3333,"r0c3_bottom_right","forward_slash","59_6"
59,6,1.3333,"r1c2_bottom_left","back_slash","59_6"
59,6,1.3333,"r1c2_bottom_right","forward_slash","59_6"
59,6,1.3333,"r2c3_bottom_left","back_slash","59_6"
59,7,1,"r2c2_bottom_left","back_slash","59_7"
59,7,1,"r2c3_bottom_left","back_slash","59_7"
59,7,1.3333,"r0c1_bottom_left","back_slash","59_7"
59,7,1.3333,"r0c2_bottom_right","forward_slash","59_7"
59,7,1.3333,"r1c0_right","vertical","59_7"
59,8,1,"r1c2_bottom_left","back_slash","59_8"
59,8,1.3333,"r0c0_bottom_right","forward_slash","59_8"
59,8,1.3333,"r0c0_right","vertical","59_8"
59,8,1.3333,"r1c2_bottom_right","forward_slash","59_8"
59,8,1.3333,"r2c2_bottom_right","forward_slash","59_8"
59,9,1.3333,"r1c3_bottom_left","back_slash","59_9"
59,9,1.3333,"r2c3_bottom_left","back_slash","59_9"
59,9,1.6667,"r1c1_bottom_right","forward_slash","59_9"
59,9,1.6667,"r3c2_right","vertical","59_9"
59,10,1.6667,"r0c1_bottom_right","forward_slash","59_10"
59,10,1.6667,"r0c3_bottom_left","back_slash","59_10"
59,10,1.6667,"r2c0_bottom_right","forward_slash","59_10"
59,11,1,"r0c2_bottom_left","back_slash","59_11"
59,11,1,"r1c0_bottom_right","forward_slash","59_11"
59,11,1,"r1c1_bottom_right","forward_slash","59_11"
59,12,1,"r1c1_right","vertical","59_12"
59,12,1.3333,"r0c2_bottom_right","forward_slash","59_12"
59,12,1.3333,"r2c1_bottom_left","back_slash","59_12"
59,12,1.3333,"r2c1_right","vertical","59_12"
59,13,1,"r2c0_right","vertical","59_13"
59,13,1.3333,"r1c0_bottom_right","forward_slash","59_13"
59,13,1.3333,"r1c0_right","vertical","59_13"
59,13,1.3333,"r1c1_right","vertical","59_13"
59,13,1.3333,"r2c1_right","vertical","59_13"
59,13,1.3333,"r3c0_right","vertical","59_13"
59,14,1.3333,"r1c2_bottom_right","forward_slash","59_14"
59,14,1.6667,"r0c1_bottom_left","back_slash","59_14"
59,14,1.6667,"r2c1_right","vertical","59_14"
59,15,1.3333,"r1c0_right","vertical","59_15"
59,15,1.3333,"r1c2_bottom_left","back_slash","59_15"
59,15,1.3333,"r2c3_bottom_left","back_slash","59_15"
59,16,1.3333,"r1c2_bottom_right","forward_slash","59_16"
