"participant","trial","is_anomaly_trial","anomaly_line_id","selected_line_1","selected_line_2","selected_line_3"
59,0,"False","","r0c0_bottom_right","r0c2_bottom_left","r2c3_bottom_left"
59,1,"False","","r2c3_bottom_left","r2c2_bottom_right","r0c3_bottom_left"
59,2,"False","","r2c2_bottom_left","r2c1_bottom_right","r1c1_right"
59,3,"False","","r2c3_bottom_left","r2c2_bottom_left","r1c1_right"
59,4,"False","","r0c3_bottom_right","r0c2_bottom_left","r0c1_bottom_left"
59,5,"False","","r2c3_bottom_left","r1c2_bottom_right","r0c1_bottom_right"
59,6,"False","","r2c3_bottom_left","r1c2_bottom_right","r0c0_right"
59,7,"True","r1c1_bottom_right","r2c3_bottom_left","r2c2_bottom_left","r0c2_bottom_right"
59,8,"False","","r2c2_bottom_right","r1c2_bottom_left","r0c0_bottom_right"
59,9,"False","","r1c3_bottom_left","r2c3_bottom_left","r1c1_bottom_right"
59,10,"True","r0c2_bottom_right","r2c0_bottom_right","r0c1_bottom_right","r0c3_bottom_left"
59,11,"False","","r1c0_bottom_right","r0c2_bottom_left","r1c1_bottom_right"
59,12,"True","r0c1_bottom_right","r1c1_right","r2c1_bottom_left","r0c2_bottom_right"
59,13,"False","","r2c0_right","r1c0_bottom_right","r1c2_bottom_right"
59,14,"True","r2c2_bottom_right","r1c2_bottom_right","r0c1_bottom_left","r1c0_bottom_right"
59,15,"False","","r2c3_bottom_left","r1c2_bottom_left","r0c2_bottom_right"
59,16,"False","","r2c2_bottom_left","r1c0_bottom_left","r1c2_bottom_right"
59,17,"False","","r1c2_bottom_left","r1c2_bottom_right","r2c2_right"
59,18,"True","r1c1_bottom_right","r2c3_bottom_left","r0c2_bottom_right","r0c2_right"
59,19,"False","","r2c2_bottom_right","r1c1_bottom_left","r1c0_bottom_right"
59,20,"False","","r1c2_bottom_left","r1c0_right","r0c1_bottom_left"
59,21,"False","","r0c3_bottom_left","r1c2_bottom_left","r2c0_bottom_right"
59,22,"False","","r0c3_bottom_left","r0c0_bottom_right","r1c2_right"
59,23,"False","","r2c1_bottom_right","r0c2_right","r0c1_bottom_right"
59,24,"True","r0c2_bottom_right","r3c1_right","r2c2_right","r1c3_bottom_left"
59,25,"False","","r2c1_bottom_right","r0c1_bottom_left","r0c2_bottom_right"
59,26,"False","","r0c3_bottom_right","r1c3_bottom_left","r0c2_bottom_left"
59,27,"False","","r0c3_bottom_right","r0c1_bottom_right","r1c1_bottom_left"
59,28,"False","","r2c1_bottom_right","r0c1_bottom_right","r0c0_bottom_right"
59,29,"False","","r2c0_bottom_right","r1c1_bottom_right","r0c0_bottom_right"
59,30,"False","","r2c1_bottom_right","r1c3_bottom_left","r0c1_bottom_left"
59,31,"False","","r2c3_bottom_left","r1c1_bottom_left","r0c0_bottom_right"
59,32,"False","","r1c1_bottom_left","r2c1_bottom_left","r2c2_bottom_left"
59,33,"False","","r1c2_bottom_left","r2c2_bottom_left","r0c2_bottom_left"
59,34,"False","","r2c2_bottom_right","r1c2_bottom_right","r1c0_bottom_left"
59,35,"False","","r1c2_bottom_right","r1c3_bottom_left","r2c3_bottom_left"
59,36,"True","r2c1_right","r0c2_bottom_left","r0c1_bottom_right","r2c2_bottom_right"
59,37,"True","r2c2_bottom_right","r2c1_bottom_right","r0c1_bottom_right","r0c2_bottom_right"
59,38,"False","","r0c3_bottom_left","r2c2_bottom_right","r2c0_right"
59,39,"False","","r0c2_bottom_right","r2c1_bottom_left","r2c0_bottom_right"
59,40,"False","","r0c3_bottom_right","r0c2_bottom_right","r0c0_bottom_right"
59,41,"False","","r0c3_bottom_left","r0c2_right","r1c1_bottom_right"
59,42,"False","","r1c2_right","r0c3_bottom_left","r2c1_right"
59,43,"False","","r1c2_bottom_right","r1c0_bottom_left","r0c2_bottom_left"
59,44,"False","","r1c1_bottom_left","r0c1_bottom_right","r2c3_bottom_left"
59,45,"True","r1c0_bottom_right","r2c2_bottom_right","r0c3_bottom_left","r0c2_bottom_left"
59,46,"False","","r0c1_bottom_right","r2c1_right","r2c0_bottom_right"
59,47,"True","r0c2_bottom_left","r0c2_bottom_right","r1c1_bottom_right","r0c0_bottom_right"
59,48,"True","r2c1_bottom_right","r2c1_bottom_left","r2c2_bottom_left","r0c1_bottom_right"
59,49,"False","","r0c3_bottom_right","r0c3_bottom_left","r1c2_bottom_left"
59,50,"False","","r2c1_bottom_right","r0c3_bottom_left","r0c3_bottom_right"
59,51,"True","r2c2_right","r1c3_bottom_left","r0c2_bottom_right","r1c2_bottom_left"
59,52,"False","","r2c3_bottom_right","r0c2_bottom_right","r0c2_bottom_left"
59,53,"True","r1c0_right","r0c3_bottom_left","r0c2_bottom_right","r2c1_bottom_left"
59,54,"False","","r2c0_bottom_right","r2c1_bottom_right","r1c1_bottom_left"
59,55,"False","","r0c3_bottom_right","r0c2_bottom_left","r2c2_bottom_right"
59,56,"False","","r2c0_bottom_right","r0c0_bottom_right","r0c2_right"
59,57,"False","","r1c3_bottom_left","r0c3_bottom_left","r1c1_bottom_right"
