"participant","trial","is_anomaly_trial","anomaly_line_id","anomaly_group","selected_line_1","selected_line_2","selected_line_3","num_contiguous","num_non_contiguous","total_contiguous","anomaly_proportion","non_anomaly_proportion"
59,7,"True","r1c1_bottom_right",0,"r2c3_bottom_left","r2c2_bottom_left","r0c2_bottom_right",1,2,6,0.166666666666667,0.133333333333333
59,10,"True","r0c2_bottom_right",2,"r2c0_bottom_right","r0c1_bottom_right","r0c3_bottom_left",1,2,4,0.25,0.117647058823529
59,12,"True","r0c1_bottom_right",2,"r1c1_right","r2c1_bottom_left","r0c2_bottom_right",0,3,4,0,0.176470588235294
59,14,"True","r2c2_bottom_right",2,"r1c2_bottom_right","r0c1_bottom_left","r1c0_bottom_right",0,3,4,0,0.176470588235294
59,18,"True","r1c1_bottom_right",0,"r2c3_bottom_left","r0c2_bottom_right","r0c2_right",0,3,6,0,0.2
59,24,"True","r0c2_bottom_right",2,"r3c1_right","r2c2_right","r1c3_bottom_left",0,3,4,0,0.176470588235294
59,36,"True","r2c1_right",0,"r0c2_bottom_left","r0c1_bottom_right","r2c2_bottom_right",1,2,8,0.125,0.153846153846154
59,37,"True","r2c2_bottom_right",2,"r2c1_bottom_right","r0c1_bottom_right","r0c2_bottom_right",0,3,4,0,0.176470588235294
59,45,"True","r1c0_bottom_right",1,"r2c2_bottom_right","r0c3_bottom_left","r0c2_bottom_left",0,3,6,0,0.2
59,47,"True","r0c2_bottom_left",2,"r0c2_bottom_right","r1c1_bottom_right","r0c0_bottom_right",2,1,4,0.5,0.0588235294117647
59,48,"True","r2c1_bottom_right",2,"r2c1_bottom_left","r2c2_bottom_left","r0c1_bottom_right",2,1,4,0.5,0.0588235294117647
59,51,"True","r2c2_right",1,"r1c3_bottom_left","r0c2_bottom_right","r1c2_bottom_left",2,1,8,0.25,0.0769230769230769
59,53,"True","r1c0_right",1,"r0c3_bottom_left","r0c2_bottom_right","r2c1_bottom_left",0,3,8,0,0.230769230769231
59,60,"True","r0c2_bottom_left",2,"r1c1_bottom_right","r2c1_bottom_left","r1c0_bottom_left",1,2,4,0.25,0.117647058823529
59,65,"True","r1c2_bottom_left",0,"r1c2_bottom_right","r0c3_bottom_right","r2c1_right",1,2,6,0.166666666666667,0.133333333333333
59,72,"True","r2c2_bottom_left",2,"r2c3_bottom_right","r1c1_bottom_left","r0c1_bottom_right",0,3,4,0,0.176470588235294
